Symbol,dividendRate,beta,52WeekChange,shortName,longName,forwardEps,bookValue,priceToBook,shortRatio
A,0.78,1.006951,0.5360502,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",4.36,15.756,8.396802,1.36
AAL,,1.858823,1.0260322,"American Airlines Group, Inc.",American Airlines Group Inc.,-0.12,-12.387,,2.58
AAP,4,1.365775,0.4378227,Advance Auto Parts Inc Advance ,"Advance Auto Parts, Inc.",11.77,54.079,3.6047266,4.88
AAPL,0.88,1.203743,0.5840621,Apple Inc.,Apple Inc.,5.36,4.146,30.253258,0.91
ABBV,5.2,0.805347,0.28012347,AbbVie Inc.,AbbVie Inc.,13.92,7.765,14.954283,2.3
ABC,1.76,0.535828,0.32264817,AmerisourceBergen Corporation,AmerisourceBergen Corporation,9.17,-1.372,,3.58
ABMD,,1.283422,0.33920026,"ABIOMED, Inc.","Abiomed, Inc.",5.22,29.371,9.533213,3.49
ABT,1.8,0.677005,0.30900764,Abbott Laboratories,Abbott Laboratories,5.41,18.889,6.2009635,2.74
ACN,3.52,1.092513,0.4428717,Accenture plc,Accenture plc,9.39,28.802,9.838901,2.46
ADBE,,0.945989,0.29588723,Adobe Inc.,Adobe Inc.,13.68,28.28,17.258486,2.69
ADI,2.76,1.254545,0.41401947,"Analog Devices, Inc.","Analog Devices, Inc.",6.97,32.768,4.8632812,13.09
ADM,1.48,0.903208,,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company,4.39,37.283,1.7965293,1.88
ADP,3.72,0.747931,,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",6.53,13.319,14.661761,1.79
ADSK,,1.338665,,"Autodesk, Inc.","Autodesk, Inc.",6.87,4.397,64.06186,1.55
AEE,2.2,0.261445,,Ameren Corporation,Ameren Corporation,4.03,35.286,2.4120047,2.53
AEP,2.96,0.246552,,American Electric Power Company,"American Electric Power Company, Inc.",4.98,42.009,2.0626533,3.78
AES,0.6,0.795366,,The AES Corporation,The AES Corporation,1.68,3.959,6.405658,2
AFL,1.32,0.990071,,AFLAC Incorporated,Aflac Incorporated,5.12,47.161,1.1872098,3.3
AIG,1.28,1.378378,,"American International Group, I","American International Group, Inc.",5.03,76.463,0.6710436,2.09
AIZ,2.64,0.609487,,"Assurant, Inc.","Assurant, Inc.",11.89,102.617,1.5485739,1.88
AJG,1.92,0.662437,,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,5.21,34.362,4.2168674,2.3
AKAM,,0.410921,,"Akamai Technologies, Inc.","Akamai Technologies, Inc.",5.89,26.128,4.3451467,5.33
ALB,1.56,1.527854,,Albemarle Corporation,Albemarle Corporation,4.95,39.949,3.994593,2.1
ALGN,,1.695532,,"Align Technology, Inc.","Align Technology, Inc.",12.57,42.957,13.775403,3.2
ALK,,1.857142,,"Alaska Air Group, Inc.","Alaska Air Group, Inc.",4.86,23.103,2.9463706,1.27
ALL,3.24,0.832322,,Allstate Corporation (The),The Allstate Corporation,12.41,92.918,1.479046,1.97
ALLE,1.44,1.192498,,Allegion plc,Allegion plc,5.69,8.081,17.016457,2.07
ALXN,,1.27027,,"Alexion Pharmaceuticals, Inc.","Alexion Pharmaceuticals, Inc.",13.98,56.21,3.161715,4.35
AMAT,0.96,1.498621,,"Applied Materials, Inc.","Applied Materials, Inc.",6.67,12.502,10.291154,0.93
AMCR,0.47,,,Amcor plc,Amcor plc,0.68,3.331,3.5965173,6.39
AMD,,2.055708,,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",2.71,5.331,14.475708,1.96
AME,0.8,1.348041,,"AMETEK, Inc.","AMETEK, Inc.",4.8,25.808,5.147629,1.41
AMGN,7.04,0.735245,,Amgen Inc.,Amgen Inc.,17.75,16.225,15.47057,3.93
AMP,4.52,1.687258,,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc.",22.54,47.431,5.36084,2.95
AMT,4.96,0.204633,,American Tower Corporation (REI,American Tower Corporation (REIT),5.55,8.731,28.627878,1.3
AMZN,,1.123,,"Amazon.com, Inc.","Amazon.com, Inc.",70.96,205,15.624781,1.79
ANET,,1.18257,,"Arista Networks, Inc.","Arista Networks, Inc.",11.25,43.588,7.6197577,4.22
ANSS,,1.20353,,"ANSYS, Inc.","ANSYS, Inc.",7.68,47.335,6.9770784,2.17
ANTM,4.52,1.054605,,"Anthem, Inc.","Anthem, Inc.",28.29,138.21,2.8657837,2.74
AON,2.04,0.828461,,Aon plc,Aon plc,12.4,18.833,13.445017,13.97
AOS,1.04,1.06343,,A.O. Smith Corporation,A. O. Smith Corporation,2.98,11.523,6.011455,4.34
APA,0.1,4.961941,,APA Corporation,APA Corporation,1.66,-4.342,,1.25
APD,6,0.804743,,"Air Products and Chemicals, Inc","Air Products and Chemicals, Inc.",10.41,57.32,5.202198,2.87
APH,1.16,1.268615,,Amphenol Corporation,Amphenol Corporation,2.51,9.146,7.2545376,1.94
APTV,,2.157198,,Aptiv PLC,Aptiv PLC,5.01,29.275,4.7979507,2.12
ARE,4.36,0.716492,,Alexandria Real Estate Equities,"Alexandria Real Estate Equities, Inc.",3.11,89.186,1.9577065,2.11
ATO,2.5,0.383342,,Atmos Energy Corporation,Atmos Energy Corporation,5.41,56.286,1.7443058,2.16
ATVI,0.47,0.63541,,"Activision Blizzard, Inc","Activision Blizzard, Inc.",4.2,19.422,4.910411,1.42
AVB,6.36,0.961941,,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",3.17,76.575,2.617173,3.02
AVGO,14.4,0.985659,,Broadcom Inc.,Broadcom Inc.,29.01,58.757,7.6797657,1.83
AVY,2.72,0.977937,,Avery Dennison Corporation,Avery Dennison Corporation,9.11,18.855,11.4887295,1.74
AWK,2.41,,,"American Water Works Company, I","American Water Works Company, Inc.",4.61,36.276,4.276105,1.88
AXP,1.72,1.28075,,American Express Company,American Express Company,9.1,30.447,5.1522317,2.31
AZO,,0.952013,,"AutoZone, Inc.","AutoZone, Inc.",86.96,-68.682,,1.55
BA,,1.685052,,Boeing Company (The),The Boeing Company,5.22,-30.897,,0.57
BAC,0.72,1.579702,,Bank of America Corporation,Bank of America Corporation,3.11,29.067,1.458699,1.44
BAX,1.12,0.675124,,Baxter International Inc.,Baxter International Inc.,4.03,16.814,4.939931,3.48
BBY,2.8,1.576944,,"Best Buy Co., Inc.","Best Buy Co., Inc.",7.95,17.848,6.4393773,3.03
BDX,3.32,0.769442,,"Becton, Dickinson and Company","Becton, Dickinson and Company",13.37,84.874,2.880505,1.61
BEN,1.12,1.307225,,"Franklin Resources, Inc.","Franklin Resources, Inc.",3.28,20.577,1.6299753,5.61
BF-B,0.72,0.808604,,Brown Forman Inc,Brown-Forman Corporation,1.89,5.156,15.473234,2.82
BIIB,,0.436845,,Biogen Inc.,Biogen Inc.,20.18,70.931,3.9924717,2.98
BIO,,0.807501,,"Bio-Rad Laboratories, Inc.","Bio-Rad Laboratories, Inc.",12.57,356.449,1.6685135,4.1
BK,1.24,1.070601,,The Bank of New York Mellon Cor,The Bank of New York Mellon Corporation,4.53,46.161,1.1169603,1.41
BKNG,,1.266409,,Booking Holdings Inc. Common St,Booking Holdings Inc.,94.3,119.459,19.19805,1.86
BKR,0.72,1.789851,,Baker Hughes Company,Baker Hughes Company,,,,5.01
BLK,16.52,1.168229,,"BlackRock, Inc.","BlackRock, Inc.",42.43,231.314,3.7212188,3.37
BLL,0.6,0.393822,,Ball Corporation,Ball Corporation,3.94,9.997,8.680604,4.12
BMY,1.96,0.622173,,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,7.97,16.842,3.9811192,1.63
